PLAN TYPE,PLAN NO,PLAN YEAR,CALENDAR YEAR,Plan,DESCRIPITION OF PLAN,# OF SHEETS,Project on File,LINK TO ELECTRONIC FILES
S,5,1999,1999,S-5-1999,TRINITY RD CTR TR 3 - SITE; UTIL; P&P; L/S,10,X,S-5-1999
S,5,1999,2000,S-5-1999,TRINITY RD CTR - HAWTHORNE SUITES HOTEL - STE; DR & UTE; P&P; ERO; L/S,10,X,S-5-1999
S,5,1999,2001,S-5-1999,HAWTHORNE SUITES HOTEL - EXT; STE; GR; DR; UTL; DTLS; IMP,10,X,S-5-1999
S,5,2005,2005,S-5-2005,LOT 13 DAIRYLAND - SITE LAYOUT,2,X,S-5-2005
S,5,2006,2007,S-5-2006,WOOD SPRING SUBDIV LOTS 900 & 901,3,X,S-5-2006
S,5,2009,11/24/2009,S-5-2009,FAIRBANKS RD WIDENING- UNITY CHURCH OF RALEIGH- REVISED 6/20/2010,3,X,S-5-2009
S,5,2010,5/21/2010,S-5-2010,SHOPS OF NEW HOPE; 1500 NORTH NEW HOPE RD,7,X,S-5-2010
S,6,1987,Dec-87,S-6-1987,I-40 BUSINESS PARK ASSOCIATES,1,X,S-6-1987
S,6,1989,May-91,S-6-1989,PROPERTY OF WALTER BRIAN HOWELL & WIFE PHYLLIS GRACE HOWELL,1,X,S-6-1989
S,6,1990,1990,S-6-1990,RECOMBINATION AND SUBDIVISION OFHEDINGHAM ON THE NEUSE,2,X,S-6-1990
S,6,1992,1993,S-6-1992,RECOMBINATION OF LOTS 22 THRU 44 FOR RIVERBEND AT LAKESIDE SUBDIVISION,1,X,S-6-1992
S,6,1993,1993,S-6-1993,THE PLACE AT HARRINGTON GROVE ; PHASE  1 AND 2,3,X,S-6-1993
S,6,1995,1995,S-6-1995,SUBDIVISION PLAT FOR NORTH COLLEGE PARK ; PHASE 3,1,X,S-6-1995
S,6,1996,1996,S-6-1996,SURVEY FOR NORTH RIDGE SHOPPING CENTER,1,X,S-6-1996
S,6,1997,1997,S-6-1997,FALLS RIVER / FALLS AVE EXTN P&P,9,X,S-6-1997
S,6,1997,1997,S-6-1997,FALLS RIVER PH 2 SEC A-1,7,X,S-6-1997
S,6,1997,1997,S-6-1997,FALLS RIVER PH 2 SEC A-1,12,X,S-6-1997
S,6,1997,1998,S-6-1997,FALLS RIVER  PH 4 - SITE; UTILITY; ERO; P&P,12,X,S-6-1997
S,6,1997,1998,S-6-1997,FALLS RIVER PH 4 - REVISION - SITE; UT; ERO; P&P,4,X,S-6-1997
S,6,1997,1998,S-6-1997,FALLS RIVER PH 5 - SITE; UTILITY; RDS; P&P; ERO,11,X,S-6-1997
S,6,1997,1999,S-6-1997,FALLS RIVER PH 5 - SITE; UTE ERO; RD; P&P,11,X,S-6-1997
S,6,1997,1997,S-6-1997,FALLS RIVER PH 2 - SITE PLAN; UTILITIY; P&P; TOPO LOTS,24,X,S-6-1997
S,6,1998,1999,S-6-1998,VASBINDER SUBD - SITE; UTE; STRM; P&P,8,X,S-6-1998
S,6,2001,2002,S-6-2001,BRIER CREEK PARCEL B ACCESS RD & TW ALEXANDER DR WIDENING P&P; SWR P&P; ERO,17,X,S-6-2001
S,6,2002,2004,S-6-2002,LANDOVER TOWNHOMES - SITE PLAN,7,X,S-6-2002
S,6,2002,2005,S-6-2002,LANDOVER TOWNHOMES - REVISIONS,7,X,S-6-2002
S,6,2005,2003,S-6-2003,DUTCHMAN CREEK SUBD-PH 1,13,X,S-6-2003
S,6,2005,2004,S-6-2003,DUTCHMAN CREEK PHASE 2,10,X,S-6-2003
S,6,2005,2004,S-6-2003,DUTCHMAN CREEK; PHASE 2 - SITE;GRA;STRM;UTE;ERO,10,X,S-6-2003
S,6,2005,2004,S-6-2003,DUTCHMAN CREEK PHASE 3 & 4 - STE;STM;DRA;UTE;GRA;ERO,13,X,S-6-2003
S,6,2005,2005,S-6-2003,DUTCHMAN CREEK PHASE 5 SUBDIVISION SITE PLAN,8,X,S-6-2003
S,6,2005,2005,S-6-2005,NEWPORT SUBDIVISION SOUTH,6,X,S-6-2005
S,6,2006,8-Mar,S-6-2006,GLENWOOD STATION TOWNHOMES - PHASING PLAN,26,X,S-6-2006
S,6,2007,8-Sep,S-6-2007,BRANDEMERE SUBDIVISION PH 1 - SUBDIVISION PLAN,38,X,S-6-2007
S,6,2007,2008,S-6-2007,BRANDEMERE SUBDIVISION PH 2 - SUBDIVISION PLAN,25,X,S-6-2007
S,6,2007,6-May,S-6-2007,SUBDIVISION PLAN FOR BRANDEMERE ; PHASES 1-3,114,X,S-6-2007
S,6,2013,13-Jan,S-6-2013,SANCTUARY PARK ; CONSTRUCTION PLANS,15,X,S-6-2013
S,7,1986,1986,S-7-1986,PROPERTY PLAT FOR LILLIE B. JOHNSON,1,X,S-7-1986
S,7,1988,1988,S-7-1988,PROPERTY OF MARION C. PENNY ; LOTS 1 & 2,1,X,S-7-1988
S,7,1989,Nov-88,S-7-1989,PROPERTY OF HARRIS WHOLESALE,1,X,S-7-1989
S,7,1991,1991,S-7-1991,HAMMOND INDUSTRIAL PARK ; LOT 9,1,X,S-7-1991
S,7,1992,Jun-92,S-7-1992,STONEHENGE 17 ; SECTION 2,1,X,S-7-1992
S,7,1993,1993,S-7-1993,BROOKHAVEN WEST SUBDIVISION / LEESVILLE RD. SAN. SEWER EASEMENT,2,X,S-7-1993
S,7,1994,1994,S-7-1994,WOODBRIDGE SUBDIVISION ; PHASE 1 AND SAN. SEWER EXTENSION,5,X,S-7-1994
S,7,1995,1995,S-7-1995,SUBDIVISION PLAT FOR LA CROSSE POINT ; PHASE 2,1,X,S-7-1995
S,7,1996,Nov-95,S-7-1996,PROPERTY SURVEY FOR MATTHEW D. TAYLOR AND KIMBERLY T. TAYLOR,1,X,S-7-1996
S,7,1998,Sep-98,S-7-1998,CARLSWOOD FARM SUBDIVISION,1,X,S-7-1998
S,7,1999,Jan-99,S-7-1999,NEW HOPE CROSSING ; PHASE 9,3,X,S-7-1999
S,7,2000,2000,S-7-2000,HEATHERLEIGH SUBD PH 1&2 - STE; LT LAYOUT; UTE; STR; ERO; P&P; RD,18,X,S-7-2000
S,7,2000,2000,S-7-2000,HEATHERLEIGH SUBD SEWER OUTFALL - LAYOUT; ERO; P&P,4,X,S-7-2000
S,7,2001,2001,S-7-2001,VILLAGE OF FOX RUN - STE; PHASING; RDS P&P; UTE; ERO,18,X,S-7-2001
S,7,2001,2003,S-7-2001,VILLAGE OF FOX RUN       LAX;PH;P&P;UTE;DR;ERO;SS;O/F;LS;DETAILS,18,X,S-7-2001
S,7,2002,2002,S-7-2002,VANTAGE POINT SUBD - STE; ERO; UTE; P&P; REVISED 1/25/2012 AT RIVER RIDGE,17,X,S-7-2002
S,7,2003,2003,S-7-2003,LEESVILLE RIDGE SUBD ROADWAY & UTE IMPRVMTS,13,X,S-7-2003
S,7,2012,2/12/2013,S-7-2012,INFRASTRUCTURE CONSTRUCTION FOR SUNNYBROOK RD APARTMENTS ; REVISED 2/9/2013,11,X,S-7-2012
S,8,1989,1989,S-8-1989,WORTHDALE FOREST SUBDIVISION (OLD # T-740),1,X,S-8-1989
S,8,1993,Aug-93,S-8-1993,SUMMERWIND SUBDIVISION  (L-1223),1,X,S-8-1993
S,8,1994,1994,S-8-1994,MARSH CREEK TOWNHOMES - RALEIGH HOUSING AUTHORITY (Q-1540),1,X,S-8-1994
S,8,1995,1995,S-8-1995,DIVISION OF LOT 1- KELLY LAND DIVISION,1,X,S-8-1995
S,8,1996,1996,S-8-1996,WYNGATE SUB'D. ;PH.'S 1;2 &3,15,X,S-8-1996
S,8,1996,1996,S-8-1996,WYNGATE SUBDIV,15,X,S-8-1996
S,8,1997,1997,S-8-1997,NEW BERN COMMONS WAL-MART REVISION - SEE: S-1334R,21,X,S-8-1997
S,8,1998,1998,S-8-1998,INGRAM SUBDIVISION ; LOTS 2 & 8,2,X,S-8-1998
S,8,2000,2000,S-8-2000,MEADOWOOD CROSSING - SITE; UTE; RD; P&P,10,X,S-8-2000
S,8,2001,2003,S-8-2001,"MEADOWS @ FOX RUN ""REVISED"" - LYT; UTE; STR; ERO; P&P; FOX RD WID",19,X,S-8-2001
S,8,2003,2003,S-8-2003,FIELDSTONE CROSSING PHASE 1,20,X,S-8-2003
S,8,2003,2003,S-8-2003,FIELDSTONE CROSSING PHASE 2,14,X,S-8-2003
S,8,2003,2004,S-8-2003,FIELDSTONE CROSSING PHASE 3 & 4,7,X,S-8-2003
S,8,2004,2004,S-8-2004,VALLEY CREST SUBDIVISION,6,X,S-8-2004
S,8,2005,2006,S-8-2005,WYNBOOKE SUBDIVISION CLUSTER DEVELOPMENT PHASE I,17,X,S-8-2005
S,8,2005,2005,S-8-2005,WYNBOOKE SUBDIVISION - PHASE II,2,X,S-8-2005
S,8,2005,2005,S-8-2005,WYNBROOKE SUBVISION - FORCEMAIN RELOCATION,17,X,S-8-2005
S,8,2007,8/29/2012,S-8-2007,FONVILLE RD. SUB'D.-9712 FONVILLE RD.- REVISED 8/2012,5,X,S-8-2007
S,8,2008,8-Sep,S-8-2008,WAKEFIELD PARK TRACT 82 - INFRASTRUCTURE CONSTR DRAWINGS,20,X,S-8-2008
S,8,2012,12/12/2012,S-8-2012,RENAISSANCE PARK ; PHASES 8;9;10 & 11-REV. PH. 8,14,X,S-8-2012
S,9,1984,Feb-84,S-9-1984,WASHINGTON TOWNS AT BISHOP RIDGE (E-199),1,X,S-9-1984
S,9,1989,Jun-89,S-9-1989,THREE LAKES CLUSTER UNIT DEVELOPMENT ; PHASE 1 (T-744),20,X,S-9-1989
S,9,1990,1990,S-9-1990,RECOMBINATION MAP OF JOSEPH I. LEE JR. & RUTH I LEE (L-1247;L-1248;L-1249;L-1250;L-1251;L1252),20,X,S-9-1990
S,9,1991,Jun-91,S-9-1991,SUBDIVISION OF PROPERTY OF GEORGE M. WOMBLE ; III  (Y-472 & Y-510),2,X,S-9-1991
S,9,1992,Jan-92,S-9-1992,BRECKENRIDGE II ; SECTION II (L-1134),20,X,S-9-1992
S,9,1993,1993,S-9-1993,SUBDIVISION OF LOT 1 & LOT 2 -EZRA & VIOLET MEIR PROPERTY (K-797),1,X,S-9-1993
S,9,1994,1994,S-9-1994,WEST WIND SUBDIVISION ;PHASE'S 1 & 2,6,X,S-9-1994
S,9,1995,Apr-94,S-9-1995,RECOMBINATION SUBDIVISION & R/W DEDICATION FOR DOMINION PMA ; L.P.,20,X,S-9-1995
S,9,1996,1996,S-9-1996,HIGHWOODS PROPERTY-I-40 SITE,9,X,S-9-1996
S,9,1997,Feb-98,S-9-1997,CLARK AVENUE SUBDIVISION ; OWNER;SETH GASKILL;1900 BLK. CLARK AVE.,1,X,S-9-1997
S,9,1999,Jun-99,S-9-1999,HEDINGHAM ON THE NEUSE-THORNBLADE ; PHASE 3,4,X,S-9-1999
S,9,2001,2001,S-9-2001,CORNERSTONE PARK LOT 8 - SUB; UTE; DR; ERO; L/S; P&P; DTS,10,X,S-9-2001
S,9,2006,2006,S-9-2006,SOUTHALL POINTE TOWNHOMES,18,X,S-9-2006
S,9,2007,2007,S-9-2007,BEDFORD AT FALLS RIVER - LOT 1205; INFRASTRUCTURE CONSTR PLANS,23,X,S-9-2007
S,9,2007,7-Oct,S-9-2007,BEDFORD AT FALLS RIVER - LOT 1205; STORMWATER REVISION,9,X,S-9-2007
S,9,2007,8-Jan,S-9-2007,BEDFORD AT FALLS RIVER - LOT 1205; REVISED SIDEWALK EASEMENT,3,X,S-9-2007
S,9,2008,8-Sep,S-9-2008,FALLON PARRISH TOWNHOMES - SIGNED CONSTRUCTION PLANS,6,X,S-9-2008
S,9,2013,7/9/2013,S-9-2013,607 & 627 DOROTHEA COMMONS ; NEIGHBORHOOD DEV.;DOROTHEA DR. BROWNSTONES,24,X,S-9-2013
S,10,1986,May-86,S-10-1986,WINDBERRY SUBDIVISION (L-803),1,X,S-10-1986
S,10,1988,1988,S-10-1988,NORTH BELTLINE CENTER RECOMBINATION MAP (S-942),6,X,S-10-1988
S,10,1994,1994,S-10-1994,COVENTRY SUBDIVISION ; PHASE 1,4,X,S-10-1994
S,10,1995,1995,S-10-1995,THE POINT AT LEMUEL SUBDIVISION ; PHASES 1 & 2,2,X,S-10-1995
S,10,1996,1996,S-10-1996,CHESTER PLACE TOWNHOMES,4,X,S-10-1996
S,10,1998,1998,S-10-1998,MAYBROOK - SITE; UTILITY; STORM; P&P & WALNUT BLUFFS,11,X,S-10-1998
S,10,1999,1999,S-10-1999,VALLEY STREAM SUBD - SITE; RDS; P&P,15,X,S-10-1999
S,10,1999,1999,S-10-1999,VALLEY STREAM SUB PH 1 - SITE; UTE; RDS; P&P,4,X,S-10-1999
S,10,2000,2000,S-10-2000,GROVE BARTON RD WATERLINE STUBS - UTE,1,X,S-10-2000
S,10,2000,2000,S-10-2000,BARTON PARK TWN HOME - SUBD PLAN; GR; STRM; DR; ERO; STR; P&P; UTE; SS,10,X,S-10-2000
S,10,2001,2001,S-10-2001,CORNERSTONE PARK LOT 5 - SUB; UTE; DRN; ERO; SAN SWR; UTE; DTL,1,X,S-10-2001
S,10,2001,2001,S-10-2005,SOUTHALL COMMONS - CONSTRUCTION SITE PLANS,19,X,S-10-2005
S,10,2005,2005,S-10-2006,ATHENS GROVE SUBD - ROADWAY & UTILITY IMPROVEMENTS,13,X,S-10-2006
S,10,2007,2007,S-10-2007,RALEIGH CORPORATE CENTER,3,X,S-10-2007
S,10,2009,9-Aug,S-10-2009,ROGERS FARM NORTH ; PHASE I,6,X,S-10-2009
S,10,2010,2010,S-10-2010,INSIDE WADE TOWNHOMES;PHASE 1;5500 WADE PARK BLVD;REV. 4/5/2011;PHASE 2 -11/2011;PH.3,45,X,S-10-2010
S,11,1974,1974,S-11-1974,COMPOSITE MAP OF WATERS EDGE OFFICE PARK (J-535),1,X,S-11-1974
S,11,1985,Jul-85,S-11-1985,THE MEADOWS AT EAGLECHASE ; PHASE'S 2 & 3 (T-580 & T-633),2,X,S-11-1985
S,11,1987,1988,S-11-1987,BEACON PLAZA ; LOTS 10 & 11  (S-935),1,X,S-11-1987
S,11,1988,1990,S-11-1988,STABLEGATE -FORMERLY THISTLEDOWN EAST ; TRACT 2 PHASE 2,1,X,S-11-1988
S,11,1990,May-91,S-11-1990,BERKSHIRE VILLAGE  (S-1006),1,X,S-11-1990
S,11,1991,Mar-92,S-11-1991,SUBDIVISION MAP OF LOT 1 ; CAPITAL EXCHANGE,1,X,S-11-1991
S,11,1992,Aug-94,S-11-1992,SUBDIVISION MAP OF COURTNEY PLACE   (S-1103),1,X,S-11-1992
S,11,1993,Mar-95,S-11-1993,TOWER COMMERCIAL PARK,4,X,S-11-1993
S,11,1994,1994,S-11-1994,PEMBERTON SUBDIVISION ; PHASE 1,1,X,S-11-1994
S,11,1996,1997,S-11-1996,WAKE COUNTY DETENTION FACILITY - STREETS ONLY,3,X,S-11-1996
S,11,1996,1996,S-11-1996,WAKE COUNTY 24 BED DETENTION FACILITY - SITE PLAN,27,X,S-11-1996
S,11,1997,2002,S-11-1997,GLENMORE PROPERTIES ; RIGHT OF WAY DED. -GLENWOOD AVE.,4,X,S-11-1997
S,11,1999,2001,S-11-1999,BROOK FOREST OFC PARK SAN SWR IMPROVEMENTS REV - P&P,6,X,S-11-1999
S,11,2000,2000,S-11-2000,WKFLD CROSSING ACCESS DR @ TRACT 70 - STE; UTE; DR; ERO; STREETS P&P,6,X,S-11-2000
S,11,2000,2001,S-11-2000,WAKEFIELD CROSSING - STE; ERO; P&P,11,X,S-11-2000
S,11,2001,2001,S-11-2001,CORNERSTONE PARL LOT 10-14 - SUB; PLN; UTE PLN; P&P DTLS,5,X,S-11-2001
S,11,2001,2001,S-11-2001,CORNERSTONE PH 1&2 TIE STONWAY BRIDGE,8,X,S-11-2001
S,11,2005,2005,S-11-2005,COLLINSWOODS SUBDIVISION,2,X,S-11-2005
